RID,GENERIC_CASE_ID,GENERIC_OFFENDER_ID,CHARGE_NUMBER,SENTENCE_YEAR,RACE,GENDER,AGE_GROUP,OFFENSE,OFFENSE_TYPE,HOMICIDE_TYPE,OFFENSE_SEVERITY_GROUP,SENTENCE_TYPE,SENTENCE_IMPOSED_MONTHS,SENTENCE_SUSPENDED_MONTHS,SENTENCE_TO_SERVE_MONTHS,SENTENCE_PROBATION_MONTHS,VVCA_AMT,FINE_AMT,RESTITUTION_AMT,FINE_SUSPENDED_AMT,GIS_ID,CREATED,EDITED,Normal_Age
39,7548270,7241253,3,2020,Black,M,22-30,Aggravated Assault Knowingly,Violent,,M6,Incarceration,42,0,42,0,100,,,,Felony_Sentences_1,,,25
40,7548270,7241253,7,2020,Black,M,22-30,Unlawful Possession of a Firearm,Weapon,,M8,Incarceration,24,0,24,0,100,,,,Felony_Sentences_2,,,24
41,2815732,5135695,3,2020,Black,M,22-30,Unlawful Possession of a Firearm (Crime of Violence),Weapon,,M6,Incarceration,36,0,36,0,100,0,0,0,Felony_Sentences_3,,,26
42,2815732,5135695,4,2020,Black,M,22-30,Unlawful Possession of a Firearm (Crime of Violence),Weapon,,M6,Incarceration,36,0,36,0,100,0,0,0,Felony_Sentences_4,,,28
43,7703087,7383706,1,2020,Black,F,61-70,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M4,Incarceration,1,0,1,0,100,0,0,0,Felony_Sentences_5,,,64
44,4597475,4642213,3,2020,Black,M,22-30,Robbery,Violent,,M5,Incarceration,72,0,72,0,100,,,,Felony_Sentences_6,,,26
45,8907601,5714303,1,2020,Black,M,22-30,Murder II,Homicide,Murder II,M2,Incarceration,168,0,168,0,100,,,,Felony_Sentences_7,,,25
46,8137338,6934382,1,2020,Black,M,31-40,Distribution Of a Controlled Substance,Drug,,D3,Short Split,18,12,6,24,100,,,,Felony_Sentences_8,,,35
47,6564058,1522596,1,2020,Black,M,18-21,Murder II,Homicide,Murder II,M2,Long Split,216,36,180,60,100,,,,Felony_Sentences_9,,,20
48,3566979,3103188,8,2020,Black,M,22-30,Unlawful Possession of a Firearm,Weapon,,M8,Incarceration,36,0,36,0,100,,,,Felony_Sentences_10,,,25
49,5023568,884541,1,2020,Hispanic,M,18-21,Unlawful Possession of a Firearm,Weapon,,M7,Incarceration,18,0,18,0,100,0,0,0,Felony_Sentences_11,,,19
50,535429,1638665,7,2020,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Probation,60,60,0,24,100,,,,Felony_Sentences_12,,,23
51,535429,1638665,9,2020,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,24,24,0,24,100,,,,Felony_Sentences_13,,,27
52,1357772,650618,1,2020,Black,M,31-40,Murder II,Homicide,Murder II,M2,Incarceration,318,0,318,0,100,,,,Felony_Sentences_14,,,33
53,2060941,569321,1,2020,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D3,Probation,8,8,0,6,100,0,0,0,Felony_Sentences_15,,,44
54,7960958,8289385,1,2020,Black,M,22-30,Unlawful Possession of a Firearm,Weapon,,M8,Incarceration,12,0,12,0,100,,,,Felony_Sentences_16,,,26
55,4754496,5878400,1,2020,Black,M,22-30,Unlawful Possession of a Firearm,Weapon,,M8,Long Split,13,1,12,12,250,,,,Felony_Sentences_17,,,26
56,4754496,5878400,2,2020,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Long Split,13,1,12,24,100,,,,Felony_Sentences_18,,,26
57,4754496,5878400,3,2020,Black,M,22-30,Possession of a Large Capacity Ammunition Feeding Device (and),Weapon,,M9,Incarceration,6,0,6,0,50,,,,Felony_Sentences_19,,,25
58,4049990,3194837,1,2020,Black,M,15-17,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,60,0,60,0,100,,,,Felony_Sentences_20,,,16
59,4049990,3194837,2,2020,Black,M,15-17,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,,,,Felony_Sentences_21,,,15
60,7263916,2862408,1,2020,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D2,Probation,20,20,0,18,100,0,0,0,Felony_Sentences_22,,,38
61,1817680,8165041,2,2020,White,M,22-30,Obstruction Justice (Due Administration),Other,,M5,Probation,36,36,0,36,100,,,,Felony_Sentences_23,,,26
62,815309,6352457,1,2020,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,24,0,24,0,500,,,,Felony_Sentences_24,,,36
63,9135229,7326829,1,2020,Black,M,31-40,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M4,Incarceration,120,0,120,0,100,,,,Felony_Sentences_25,,,32
64,9135229,7326829,3,2020,Black,M,31-40,Unlawful Possession of a Firearm,Weapon,,M8,Incarceration,36,0,36,0,100,,,,Felony_Sentences_26,,,32
65,1100992,1004531,2,2020,Black,M,22-30,Unauthorized Use of A Vehicle,Property,,M8,Short Split,12,12,1,36,100,0,"1,500",0,Felony_Sentences_27,,,26
66,4865784,9162885,1,2020,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D3,Probation,12,12,0,18,100,0,0,0,Felony_Sentences_28,,,55
67,7148744,673085,2,2020,Black,M,31-40,Aggravated Assault Knowingly,Violent,,M6,Short Split,54,54,1,18,100,,,,Felony_Sentences_29,,,35
68,5600376,3316991,3,2020,Black,M,31-40,Unlawful Possession of a Firearm,Weapon,,M8,Incarceration,18,0,18,0,100,,,,Felony_Sentences_30,,,33
69,6766098,7572318,2,2020,Black,F,41-50,Perjury,Other,,M8,Short Split,12,12,1,24,100,0,0,0,Felony_Sentences_31,,,46
70,9430120,8797945,1,2020,Black,M,31-40,Unlawful Possession of a Firearm,Weapon,,M8,Incarceration,12,0,12,0,100,,,,Felony_Sentences_32,,,34
71,1019808,2867690,1,2020,Black,M,31-40,First Degree Child Sex Abuse,Sex,,M6,Long Split,36,21,15,60,100,,,,Felony_Sentences_33,,,33
72,9601989,6644897,8,2020,Other or Unknown,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,6,6,0,1,100,,,,Felony_Sentences_34,,,26
73,9513954,9371360,1,2020,Black,M,18-21,Burglary Two,Property,,M7,Long Split,36,24,12,60,100,0,0,0,Felony_Sentences_35,,,18
74,9760379,2595228,2,2020,Black,M,22-30,Carrying a Pistol Without a License (Outside Home or Place of Business/Prior Felony) 2015,Weapon,,M8,Short Split,14,14,1,6,100,,,,Felony_Sentences_36,,,26
75,9329626,8912313,1,2020,Black,M,31-40,Cruelty to Animals,Other,,M9,Incarceration,15,0,15,0,100,,,,Felony_Sentences_37,,,33
76,252713,4241601,1,2020,Black,M,31-40,Burglary Two,Property,,M7,Incarceration,39,0,39,0,100,,,,Felony_Sentences_38,,,34
77,8079934,9924317,1,2020,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,18,18,0,18,100,0,0,0,Felony_Sentences_39,,,26
78,8680364,5669244,1,2020,Black,M,22-30,Aggravated Assault Knowingly,Violent,,M4,Probation,48,48,0,60,250,,,,Felony_Sentences_40,,,26
79,8680364,5669244,2,2020,Black,M,22-30,Assault with Significant Bodily Injury,Violent,,M6,Probation,18,18,0,60,250,,,,Felony_Sentences_41,,,24
80,909899,1431574,1,2020,Black,F,41-50,Fraud 2nd Degree $1000 or More (Felony),Other,,M9,Probation,8,8,0,60,100,0,"28,321",0,Felony_Sentences_42,,,44
81,5407116,8851538,1,2020,White,M,22-30,Assault W/I to Kill,Violent,,M3,Incarceration,96,0,96,0,100,,,,Felony_Sentences_43,,,26
82,5407116,8851538,2,2020,White,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,,,,Felony_Sentences_44,,,25
83,5407116,8851538,3,2020,White,M,22-30,Aggravated Assault Knowingly,Violent,,M4,Incarceration,48,0,48,0,100,,,,Felony_Sentences_45,,,26
84,5407116,8851538,4,2020,White,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,,,,Felony_Sentences_46,,,27
85,5407116,8851538,5,2020,White,M,22-30,Assault with Significant Bodily Injury,Violent,,M6,Incarceration,24,0,24,0,100,,,,Felony_Sentences_47,,,27
86,5407116,8851538,6,2020,White,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,,,,Felony_Sentences_48,,,26
87,5407116,8851538,7,2020,White,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Incarceration,12,0,12,0,100,,,,Felony_Sentences_49,,,27
88,5407116,8851538,8,2020,White,M,22-30,Obstruction Justice (Due Administration),Other,,M5,Incarceration,36,0,36,0,100,,,,Felony_Sentences_50,,,25
89,5407116,8851538,9,2020,White,M,22-30,Obstruction Justice (Due Administration),Other,,M5,Incarceration,36,0,36,0,100,,,,Felony_Sentences_51,,,25
90,9700611,6780541,1,2020,Black,F,31-40,Robbery,Violent,,M6,Short Split,48,48,1,18,100,0,0,0,Felony_Sentences_52,,,34
